sample_id,n_Na,q_Na,r_Na,I_Na,phi_Na,n_TM,q_TM,r_TM,I_TM,phi_TM,S_TM,n_O,q_O,r_O,I_O,phi_O,phi_cation,Phase_EXP
1,0.6,0.6,102,28.371816,5.882353,1,3.4,56,59.69,61.223162,0,2,-4,140,280,28.571429,12.60476858,0
2,0.6,0.6,102,28.371816,5.882353,1,3.4,61.1,69.2156,55.714574,0.673011667,2,-4,140,280,28.571429,11.47064753,0
3,0.6,0.6,102,28.371816,5.882353,1,3.4,55.15,60.6235,62.017158,0.856840995,2,-4,140,280,28.571429,12.76823835,0
4,0.65,0.65,102,30.736134,6.372549,1,3.35,55.525,59.2673,60.715214,0.780555832,2,-4,140,280,28.571429,13.54187347,0
5,0.653,0.653,102,30.87799308,6.401961,0.929,3.347,54.98600646,59.44609,61.350358,0.068417636,2,-4,140,280,28.571429,13.74669077,0
6,0.66,0.66,102,31.2089976,6.470588,1,3.34,65.08,62.66082134,53.217317,0.526907961,2,-4,140,280,28.571429,12.05215647,0
7,0.66,0.66,102,31.2089976,6.470588,1,3.34,70.64,42.018012,47.5,0,2,-4,140,280,28.571429,10.75735239,0
8,0.666666667,0.666666667,102,31.52424,6.535948,1,3.333333333,55.40833333,59.02766667,60.507709,0.886464476,2,-4,140,280,28.571429,13.84163318,0
9,0.666666667,0.666666667,102,31.52424,6.535948,1,3.333333333,54.16666667,59.51,61.690653,0.848685558,2,-4,140,280,28.571429,14.11224129,0
10,0.666666667,0.666666667,102,31.52424,6.535948,1,3.333333333,55.80833333,58.08666667,60.17606,0.856840995,2,-4,140,280,28.571429,13.76576576,0
11,0.666666667,0.666666667,102,31.52424,6.535948,1,3.333333333,56.33333333,58.27666667,59.639991,0,2,-4,140,280,28.571429,13.64313559,0
12,0.666666667,0.666666667,102,31.52424,6.535948,1,3.333333333,58.85333333,72.31407467,59.584327,0.592953317,2,-4,140,280,28.571429,13.630402,0
13,0.666666667,0.666666667,102,31.52424,6.535948,1,3.333333333,58.77777778,60.43517778,59.42898,0.529706199,2,-4,140,280,28.571429,13.5948651,0
14,0.666666667,0.666666667,102,31.52424,6.535948,1,3.333333333,54,60.68,61.85448,0,2,-4,140,280,28.571429,14.14971806,0
15,0.666666667,0.666666667,102,31.52424,6.535948,1,3.333333333,54.58333333,58.30666667,61.300858,0.693147181,2,-4,140,280,28.571429,14.0230725,0
16,0.666666667,0.666666667,102,31.52424,6.535948,1,3.333333333,63.95333333,93.72049581,54.322721,0.526907961,2,-4,140,280,28.571429,12.4267666,0
17,0.666666667,0.666666667,102,31.52424,6.535948,1,3.333333333,55.66666667,59.51333333,60.255755,0.636514168,2,-4,140,280,28.571429,13.78399664,0
18,0.666666667,0.666666667,102,31.52424,6.535948,0.996666667,3.333333333,56.71906355,64.18462667,60.11005,0.838594054,2,-4,140,280,28.571429,13.75066543,0
19,0.666666667,0.666666667,102,31.52424,6.535948,1,3.333333333,55.33333333,59.88166667,60.591004,0.801818553,2,-4,140,280,28.571429,13.86068759,0
20,0.666666667,0.666666667,102,31.52424,6.535948,0.996666667,3.333333333,56.52842809,59.96249767,60.11888,0.806697423,2,-4,140,280,28.571429,13.75268537,0
21,0.666666667,0.666666667,102,31.52424,6.535948,1,3.333333333,56.91666667,63.99483333,58.696422,1.011404265,2,-4,140,280,28.571429,13.42728647,0
22,0.666666667,0.666666667,102,31.52424,6.535948,1,3.333333333,56.27833333,62.72935667,59.438692,1.143406939,2,-4,140,280,28.571429,13.5970868,0
23,0.666666667,0.666666667,102,31.52424,6.535948,1,3.333333333,61.16666667,65.82872333,54.821083,0.636514168,2,-4,140,280,28.571429,12.54077098,0
24,0.666666667,0.666666667,102,31.52424,6.535948,1,3.333333333,54.33333333,60.74333333,61.520869,0.636514168,2,-4,140,280,28.571429,14.07340181,0
25,0.666666667,0.666666667,102,31.52424,6.535948,1,3.333333333,55.73333333,59.01666667,60.204255,0.500402424,2,-4,140,280,28.571429,13.7722156,0
26,0.666666667,0.666666667,102,31.52424,6.535948,1,3.333333333,56.78333333,61.33556667,58.986523,0.63903186,2,-4,140,280,28.571429,13.49364944,0
27,0.666666667,0.666666667,102,31.52424,6.535948,1,3.333333333,55.43333333,59.57316667,60.481348,0.886464476,2,-4,140,280,28.571429,13.83560288,0
28,0.666666667,0.666666667,102,31.52424,6.535948,1,3.333333333,54.70833333,59.21666667,61.175754,1.039720771,2,-4,140,280,28.571429,13.99445394,0
29,0.666666667,0.666666667,102,31.52424,6.535948,1,3.333333333,55.33333333,58.84516667,60.581432,0.886464476,2,-4,140,280,28.571429,13.85849792,0
30,0.666666667,0.666666667,102,31.52424,6.535948,1,3.333333333,54.83333333,59.77266667,61.043254,1.054920168,2,-4,140,280,28.571429,13.96414348,0
31,0.666666667,0.666666667,102,31.52424,6.535948,1,3.333333333,63,63.90872333,53.224103,0.636514168,2,-4,140,280,28.571429,12.17544875,0
32,0.666666667,0.666666667,102,31.52424,6.535948,1,3.333333333,69.66666667,56.38,49.45999,0.636514168,2,-4,140,280,28.571429,11.31437713,0
33,0.7,0.7,102,33.100452,6.862745,1,3.3,56.5,57.57,58.848406,0,2,-4,140,280,28.571429,14.13515593,0
34,0.7,0.7,102,33.100452,6.862745,1,3.3,55.55,58.689,59.734767,0.897945725,2,-4,140,280,28.571429,14.34805636,0
35,0.72,0.72,102,34.0461792,7.058824,1,3.28,58.52,73.18522328,60.516385,0.551079928,2,-4,140,280,28.571429,14.95110765,0
36,0.75,0.75,102,35.46477,7.352941,1,3.25,54.125,58.3275,60.152328,0,2,-4,140,280,28.571429,15.48037793,0
37,0.76,0.76,102,35.9376336,7.45098,1,3.24,55.59,58.0624,58.576809,0.844228311,2,-4,140,280,28.571429,15.2759119,0
38,0.777777778,0.777777778,102,36.77828,7.625272,1,3.222222222,55.15888889,56.68591111,58.63309,1.053919751,2,-4,140,280,28.571429,15.64826385,0
39,0.8,0.8,102,37.829088,7.843137,1,3.2,57.52,64.28581164,57.951519,0.861779919,2,-4,140,280,28.571429,15.90825936,0
40,0.8,0.8,102,37.829088,7.843137,1,3.2,55.7,60.8758,57.259838,0.500402424,2,-4,140,280,28.571429,15.71838616,0
41,0.8,0.8,102,37.829088,7.843137,1,3.2,54.2,55.498,59.131037,0.500402424,2,-4,140,280,28.571429,16.2320486,0
42,1,1,102,47.28636,9.803922,1,3,67,43.26717,44.776119,0,2,-4,140,280,28.571429,15.364355,1
43,1,1,102,47.28636,9.803922,1,3,64,46.709,46.875,0,2,-4,140,280,28.571429,16.08455929,1
44,1,1,102,47.28636,9.803922,1,3,61.5,49.16,48.780488,0,2,-4,140,280,28.571429,16.73840323,1
45,1,1,102,47.28636,9.803922,1,3,55,54.91,54.545455,0,2,-4,140,280,28.571429,18.71657824,1
46,1,1,102,47.28636,9.803922,1,3,69,40.33,43.478261,0,2,-4,140,280,28.571429,14.91901156,1
47,1,1,102,47.28636,9.803922,1,3,66.5,42,45.112782,0,2,-4,140,280,28.571429,15.47987663,1
48,1,1,102,47.28636,9.803922,1,3,86.1,45.249,34.843206,0,2,-4,140,280,28.571429,11.95600241,1
49,1,1,102,47.28636,9.803922,1,3,54.75,53.09,54.795663,0.693147181,2,-4,140,280,28.571429,18.80243393,1
50,1,1,102,47.28636,9.803922,1,3,57,53.065,52.647783,0.693147181,2,-4,140,280,28.571429,18.06541626,1
